,source,target
3695,"Piggie
","Angry Birds is a fantasy-based media franchise created by the Finnish company Rovio Entertainment.
"
3696,"Xayawaan waa noole ka mid ah noocyada noolaha.
","Animals ( also called Metazoa ) are multicellular eukaryotic organisms that form the biological kingdom Animalia.
"
3697,"Anna Netrebko ( Sebteembar 18 , 1971 oo Krasnodar ) waa fanaanad dalka Ruushka.
","Anna Yuryevna Netrebko ( born 18 September 1971 ) is a Russian-Austrian operatic soprano.
"
3698,"Anna Rita Del Piano , ku dhashay Anna Rita Viapiano ( Cassano delle Murgia , 26 Luuliyo 1966 ) waa Talyaani jilaa iyo agaasimaha tiyaatarka ah.
","Anna Rita Del Piano , real name Anna Rita Viapiano ( born 26 July 1966 , in Cassano delle Murge ) , is an Italian actress and theater director.
"
3699,"Annelies Marie ( Anne ) Frank 12-6-1929 Frankfurt- 31 bishii 3 1945 kaamka bergen ee Jarmalku dadka yuhuuda ah ku uruurin jiray waxaay ahayd gabadh yar oo Jarmal ah laakiin asalkeedu kasoo jeedo yuhuuda waxa ay kudhalatay magaalda Frankfurt inta badan nolosheedana waxa ay kunooleeday magaalda Amistardam ee dalka Holland waxa ay caan noqotay kadib markii ay dhimatay waayo waxa ladaabacay xusuus qorkeedii maalmihii ay gurigooda ku dhuumanayeen iyada iyo caa'iladeedu , kadib markii ciidamadii jarmalku ay qabsadeen wadanka Holland.
","Annelies Marie "" Anne "" Frank ( 12 June 1929 - February or March 1945 ) was a German-Dutch diarist of Jewish origin.
"
3700,"Anopheles : Kaneeco
","Anopheles is a genus of mosquito first described and named by J.
"
3701,"Another Cinderella Story ( "" Sheeko kale oo Cinderella ah "" ) waa filim majaajillo Mareykan ah oo 2008 ah oo uu hago Damon Santostefano oo ay qoreen Erik Patterson iyo Jessica Scott.
","Another Cinderella Story is a 2008 American teen musical comedy film directed by Damon Santostefano and written by Erik Patterson and Jessica Scott.
"
3702,"Warcelin sidoo kale loo yaqaano Jawaab , waa hab ka mid ah xidhiidhka luuqada taasi oo loo isticmaalo u celinta warbixin iyo faahfaahin ku saabsan meel , qof ama shey taasi oo ka jawaabaysa su'aal.
","Answer commonly refers to answer ( response ) , to a question.
"
3703,"Quraansho waa xayawaan yar oo caqli badan oo aduunkooda ku nool.
","Ants are eusocial insects of the family Formicidae and , along with the related wasps and bees , belong to the order Hymenoptera.
"
3704,"Antananarifo waa caasimada dalka Madagaskar , waana xarunta ganacsiga ee dalka.
","Antananarivo ( French : "" Tananarive , "" ) , also known by its colonial shorthand form Tana , is the capital and largest city of Madagascar.
"
3705,"Antarktika ( "" loogu dhawaaqo "" : iyo ) waa qaarada ugu xigta koonfurta Aduunka , taasi oo juquraafi ahaan noqoneysa Cidhifka Koonfureed ee dhulka.
","Antarctica ( or ) is Earth's southernmost continent.
"
3706,"Anthrobolojist wa qof barta Anthroboloji.
","An anthropologist is a person engaged in the practice of anthropology.
"
3707,"Somalidiid way caytin loo bixiyo dadka oo qaranimada iyo wadaninimo horjeeda.
","Anti-Somali sentiment or Somalophobia refers to the existence of fear and hostility against Somalis , or their culture.
"
3708,"Antigua iyo Barbuda waa wadan jasiirad ah oo ku yaalo Karabiya.
","Antigua and Barbuda is an island sovereign state in the West Indies in the Americas , lying between the Caribbean Sea and the Atlantic Ocean.
"
3709,"Antimony
","Antimony is a chemical element with the symbol Sb ( from ) and atomic number 51.
"
3710,"Daanyeer ama Muusekorow , waa bahal ku nool caalamka , waxoo u badanyahay qaaradaha afrika iyo aasiya.Daanyeerka waa bahal geedaha fuulo , waxoona u dhisanyahay sida biniaadanka.
","Apes ( Hominoidea ) are a branch of Old World tailless simians native to Africa and Southeast Asia.
"
3711,"Rasuul
","An apostle , in its most literal sense , is an emissary , from Greek ἀπόστολος ( "" apóstolos "" ) , literally "" one who is sent off , "" from the verb ἀποστέλλειν ( "" apostéllein "" ) , "" to send off . ""
"
3712,"Jaamacada Carabta waa urur kulmiya wadamada carabta.Waa urur kulmiya wadamo kuyaala Afrika iyo Aasiya xubnaha kujira waxaa looyaqaana dawldo caraba.waa dawlado wadaaga arimo dhaqaale iyo arimo siyaasadeed.
","The Arab League , formally the League of Arab States , is a regional organization in the Arab world , which is located in Africa and Western Asia.
"
3713,""" Arab Broadcasting union / Midawga Carabta ee Waddanka Carabta ASBU ""
","The Arab States Broadcasting Union ( ASBU ) is an Arab joint-action institution related to the League of Arab States and the Pan-Arab Association of Public Service and Commercial Broadcasters.
"
3714,"Dhulka Carabta ( Sidoo kale loo yaqaa Dalalka Carbeed iyoDunida carabta ) waa ereybixin Juqraafi-Siyaasad -oo loogu yeero mandiqad ama gobol leh juqraafiluqad iyo dhaqan wadaag ah.
","The Arab world ( formally : Arab homeland , ' ) , also known as the Arab nation , the Arabsphere , or the Arab states , consists of the 22 Arab countries which are members of the Arab League.
"
3715,"Dhulbaxsinta Carabta ama Jasiirad Dhuleedka Carabta ( Af-Carabi شبه الجزيرة العربية ) waa jasiirad dhuleed oo ku taalo koonfur bari ee qaarada Aasiya.
","The Arabian Peninsula ( ' Arabian Peninsula ' or , , ' Island of the Arabs ' ) is a peninsula of Western Asia , situated northeast of Africa on the Arabian Plate.
"
3716,"Bada Carbeed waa magac loo bixiyay biyaha Bariga Dhexe oo ka mid ah Badweynta Hindiya.
","The Arabian Sea is a region of the northern Indian Ocean bounded on the north by Pakistan and Iran , on the west by the Gulf of Aden , Guardafui Channel and the Arabian Peninsula , on the southeast by the Laccadive Sea , on the southwest by the Somali Sea , and on the east by India.
"
3717,"Luqada Carabiga waa luqad ay ku hadlaan in kabadan 422 Milyan oo Qof , Waxanay leedahay Lahjado badan , waana mid kamida luqadaha caalamka ugu , shacbiyada badan luqada carabiga waxa sigaar ah u adeegsada dadka islaamka ah waayo waxa kusoo dagay Qur'aanka kariimka ah.
","Arabic ( , ' , or , ' , or ) is a Semitic language that first emerged in the 1st to 4th centuries CE.
"
3718,"Arabsiyo waa tuulo ku taalo gobalka Maroodi Jeex ee Somaliland , una dhexaysa magaalada Hargeysa iyo Gabiley.
","Arabsiyo is a town in the Maroodi Jeex province of Somaliland.
"
3719,"Iram , Aram ( Af Hebrew : אֲרָם ' Ărām ) waa mid ka mida wiilasha shanta ah saam bin nabi nuux calayihi salaam , waa aabaha carabta dabar go'day
","Aram ( "" Aram "" ) is a son of Shem , according to the Table of Nations in Genesis 10 of the Hebrew Bible , and the father of Uz , Hul , Gether and Mash or Meshech.
"
3720,"Badweynta Aktik , Badweynta Waqooyi waa badweyn dhacda waaxda waqooyi ee Aduunka taasi oo ku wareegsan gobolka Arktik iyo deegaanada Cidhifka Waqooyi.
","The Arctic Ocean is the smallest and shallowest of the world's five major oceans It is also known as the coldest of all the oceans.
"
3721,"Arda Turan waa cayaaryahan u dhashay wadanka Turkiga , wuxuuna hadda u ciyaaraa kooxda Barcelona ee wadanka Isbania iyo xulka qaranka dalka Turkiga , Turan waa kaptanka xulka qaranka dalka Turkiga.
","Arda Turan ( born 30 January 1987 ) is a Turkish professional footballer who plays as an attacking midfielder for the Turkey national team.
"
3722,"Ardencroft , Delaware
","Ardencroft is a village in New Castle County , Delaware , United States.
"
3723,"Bed waa cabir lagu cabiro meel dusheeda.
","Area is the quantity that expresses the extent of a two-dimensional figure or shape or planar lamina , in the plane.
"
3724,"Baar waa geed ka baxo wadamada kuul oo dhan.
","The Arecaceae are a botanical family of perennial flowering plants in the monocot order Arecales.
"
3725,"w : tr : Arjantin
","Argentina , officially the Argentine Republic , is a country located mostly in the southern half of South America.
"
3726,"1 Peso Argentino = 100 Centavos / Senti.
","The peso ( established as the "" peso convertible "" ) is the currency of Argentina , identified by the symbol $ preceding the amount in the same way as many countries using dollar currencies.
"
3727,"1 Peso Argentino = 100 Centavos / Senti.
","The peso was the currency of Argentina between June 1 , 1983 and June 14 , 1985.
"
3728,"Aargon
","Argon is a chemical element with the symbol Ar and atomic number 18.
"
3729,"Arizona ; O'odham : "" Alĭ ṣonak "" ) waa gobol dhaca koonfurgalbeed wadanka Maraykanka.
","Arizona is a state in the southwestern region of the United States.
"
3730,"Arkansas waa gobol dhaca deegaanada koonfureed ee wadanka Maraykanka.
","Arkansas is a state in the south central region of the United States , home to more than three million people as of 2018.
"
3731,"Armania waa wadan Dhul xiran oo ku yaalo , bariga Yurub iyo galbeedka Aasiya.
","Armenia , officially the Republic of Armenia , is a landlocked country in the South Caucasus region of Eurasia.
"
3732,"waa mid ka mida ilmihii saam inankii nabi nuux cs , wilkiisu waa shaalikh
","Arpachshad ( - "" ʾArpaḵšaḏ , "" in pausa - "" ʾArpaḵšāḏ "" ; - "" Arphaxád "" ) , alternatively spelled Arphaxad or Arphacsad , is one of the postdiluvian men in the ShemTerah genealogy.
"
3733,"Xadhig sidoo kale loo yaqaano Xirid , waa marka qof ama dad laga qaado xoriyada kuwaasi oo inta badan lagu xareeyo xabsi ama meel kale oo loogu talogalay in lagu hayo mudo wakhti ah.
","An arrest is the act of apprehending and taking a person into custody ( legal protection or control ) , usually because the person has been suspected of or observed committing a crime.
"
3734,"Leeb ( carabi : سهم taliyaani : freccia ingiriis : arrow ) waa ul dhuuban oo ka samaysan alwaax ama bir kaas oo lagu xidho qaanso ka dib la rido ayadoo lala shiishayo bar ama meel.
","An arrow is a fin-stabilized projectile that is launched via a bow , and usually consists of a long straight stiff shaft with stabilizers called fletchings , as well as a weighty ( and usually sharp and pointed ) arrowhead attached to the front end , and a slot at the rear end called the nock for engaging the bowstring.
"
3735,"Arsenal F.C.
","Arsenal Football Club is a professional football club based in Islington , London , England , that plays in the Premier League , the top flight of English football.
"
3736,"Aarsenik
","Arsenic is a chemical element with the symbol As and atomic number 33.
"
3737,"Arsène Wenger ( ° 1949-10-22 Strasbourg , Faransiiska ).
","Arsène Charles Ernest Wenger ( born 22 October 1949 ) is a French football manager and former player.
"
3738,"Fan
","Art is a diverse range of human activities in creating visual , auditory or performing artifacts ( artworks ) , expressing the author's imaginative , conceptual ideas , or technical skill , intended to be appreciated primarily for their beauty or emotional power.
"
3739,"Aruba waa jasiirad aad uyar kana tirsan boqortooyada holland waxa ay aruba kutaalaa Badda Karabiya Aruba , Bonaire iyo Curaçao sadesdan jasiiradood waxa layskuyidhaahdaa jasiiradaha ABC waana mid kamida jasiiradaha Antillen waxa ay ismaamul hoosaad malaha qaybo maamul oo u gaara sida wasaarado iyo wixii lamida Aruba waxa ay leedahay jawi qalaln oo waa qoraxlay
","Aruba is an island and a constituent country of the Kingdom of the Netherlands in the southern Caribbean Sea , located about west of the main part of the Lesser Antilles and north of the coast of Venezuela.
"
3740,"Hami yarida ( ingiriis : asexuality ) waa xaalada rabitaanka yar iyo kacsi yar.
","Asexuality is the lack of sexual attraction to others , or low or absent interest in or desire for sexual activity.
"
3741,"Dambas
","Ash or ashes are the solid remnants of fires.
"
3742,"Caasha Cado waa magaalo ku taala waqooyigalbeed gobolka Awdal , wadanka Soomaaliya.
","Asha Addo is a town located in Awdal , Somaliland.
"
3743,"Ashraaf waa qabiil Soomaaliyeed oo ka mid ah qabiilada tirada yar , waxay asal ahaan ka soo jeedaan carabta.
","The Asharaf or Ashraf or Asheraf is a Somali clan of Arab origin.
"
3744,"Cashuura waa maalainta 10 aad ee bisha Muxaram.
","Ashura , also known as Yawm Ashura , is the tenth day of Muharram , the first month in the Islamic calendar.
"
3745,"Aasiya ( Eeshiya ; ; ) waa qaarada ugu weyn Dhulka iyo tan ugu dadka badan leh , taasi oo dhacda meel u dhaxaysa dhamaan qaaradaha kale ee dhulka.
","Asia is Earth's largest and most populous continent , located primarily in the Eastern and Northern Hemispheres.
"
3746,"Asia One / Warka
","AsiaOne is a news , lifestyle and entertainment aggregator that changed its logo from yellow to orange providing content primarily to readers in Singapore , Malaysia , Hong Kong.
"
3747,"Asiana Airlines Inc . ( Hangul : 아시아나 항공 ; Asiana Hanggong KRX : 020560 ; hore Seoul Airlines ) waa mid ka mid ah labada shirkadood ee South Korea oo ay wehliyaan Korean Air.
","Asiana Airlines Inc . is a major flag carrier and the only 5-star rated airline in South Korea.
"
3748,"Asmara waa caasimada dalka Ereteriya , waxaana degan dad gaaraayo ilaa 579000 oo qof.
","Asmara , or Asmera , is the capital and most populous city of Eritrea , in the country's Central Region.
"
3749,"Salaad casar ( )
","The Asr prayer ( "" , "" "" afternoon prayer "" ) is one of the five mandatory salah ( Islamic prayer ).
"
3750,"Cassab ama Caseb ( Tigrenya : ዓሰብ ; "" "" ; ; ) waa caasimad xeebeed leh dekad taasi oo ku taala gobolka Koonfurta Bada Cas ee wadanka Eritrea.
","Assab or Aseb is a port city in the Southern Red Sea Region of Eritrea.
"
3751,"Kubadda Cagta sidoo kale loo yaqaano "" banooni "" waa isbortiga ugu caansan caalamka , waxeena ka midtahay ciyaaraha tan ugu duqsan caalamka.Kubada Cagta waxaa laga yaqaanaa caalamka oo dhan , waxaana la ciyaari jiray qarni aad u dheer.Kubada Cagta waxaa loo ciyaaraa koox koox oo ka kooban 11 ciyaaryahan , waxeena isticmaalayaan banooni ama kubad oo koox kasto iska difaaceeyso in gool laga dhaliyo.
","Association football , more commonly known as football or soccer , is a team sport played with a spherical ball between two teams of 11 players.
"
3752,"Assur
","Aššur ( Sumerian : AN.ŠAR , Assyrian cuneiform : "" Aš-šur , "" "" City of God Aššur "" ; "" Āšūr "" ; Old Persian "" Aθur , "" : "" Āšūr "" ; : ' , ) , also known as Ashur and Qal 'at Sherqat , was the capital of the Old Assyrian Empire ( 2025-1750 BC ) , the Middle Assyrian Empire ( 1365-1050 BC ) , and for a time , of the Neo-Assyrian Empire ( 911-608 BC ).
"
3753,"Assiriya ( Siyriyak : ܐܬܘܪ ) waa boqortooyo ka jirtey bariga dhexe wakhtiyadii hore.
","Assyria , also called the Assyrian Empire , was a Mesopotamian kingdom and empire of the ancient Near East and the Levant that existed as a state from perhaps as early as the 25th century BC ( in the form of the Assur city-state ) until its collapse between 612 BC and 609 BC - spanning the periods of the Early to Middle Bronze Age through to the late Iron Age.
"
3754,"Astatiin
","Astatine is a chemical element with the symbol At and atomic number 85.
"
3755,"Xanuunka Neefta
","Asthma is a common long-term inflammatory disease of the airways of the lungs.
"
3756,"Astrid Lindgren ( Af Iswidhish : ) waxay dhalatay 1907 waxayna dhimatay 2002.
","Astrid Anna Emilia Lindgren ( 14 November 1907 - 28 January 2002 ) was a Swedish writer of fiction and screenplays.
"
3757,"Astrid Lindgren Memorial Award ( ALMA-priset )
","The Astrid Lindgren Memorial Award is an international children's literary award established by the Swedish government in 2002 to honour the Swedish children's author Astrid Lindgren ( 1907-2002 ).
"
3758,"Xidigisyahan
","An astronomer is a scientist in the field of astronomy who focuses their studies on a specific question or field outside the scope of Earth.
"
3759,"AU
","The astronomical unit ( symbol : au , ua , or AU ) is a unit of length , roughly the distance from Earth to the Sun and equal to about.
"
3760,"Xidigis sidoo kale loo yaqaano Cilmi Fallag iyo Cilmiga Xidigaha waa cilmiga barshada Meereyaasha , Xidigaha , dayaxaanta , Galaagsiyada iyo dhamaan Koon eeynu ku noolnahay.
","Astronomy ( from ) is a natural science that studies celestial objects and phenomena.
"
3761,"Atlanta , Caasimada Atlanta ( sidoo kale ) waa caasimad iyo magaalo madaxda Gobolka Joorjiya ee wadanka Maraykanka.
","Atlanta is the capital and most populous city of the U.S.
"
3762,"w : en : atlantic ocean
","The Atlantic Ocean is the second-largest of the world's oceans , with an area of about.
"
3763,"Xuseen Ismaciil sidoo kale loo yaqaanay Ato Xuseen Ismaciil wuxuu ahaa siyaasi weyn ka mid ah dalka Itoobiya , Mengistu iyo Dhergigu markey dalka xukumi jireen 1974-1987.
","Hussein Ismail or Husein ismail also known as Ato Hussein Ismail was a Somali Ethiopian statesman who held several spots in the Ethiopian government.
"
3764,"Atamku waa wax yer oo ilmaqabata ah , waana qayb ka tirsan Maatarka waxaan ognahay in uu yahay maatarka wixii cufleh culaysnaleh meelmadhana buuxin kara.
","An atom is the smallest constituent unit of ordinary matter that constitutes a chemical element.
"
3765,"Cufka Atamka waa wax ka mid ah astaamaha dhamaan Isotope Curiye ( waxaa sidoo kale lagu magacaabaa Saamiga Cufka Atamka ama Culeys atomeed ) waa Cuf Atom kaliya halbeega ( "" Ururta Cufka Atamka "" U.C.A.
","The atomic mass ( "" m "" or "" m "" ) is the mass of an atom.
"
3766,"Dagaalkii -Pearl Harbor Hawaii
","The Attack on Pearl Harbor was a surprise military strike by the Imperial Japanese Navy Air Service upon the United States ( a neutral country at the time ) against the naval base at Pearl Harbor in Honolulu , Territory of Hawaii , just before 08 : 00 , on Sunday morning , December 7 , 1941.
"
3767,"Digtooni-la'aanta ( ingiriis : attention deficit ) waa xaalad oo ku saabsan cudur ama dhibaatooyin madaxda oo qofka ka dhiga iney dhib u noqoto inuu wax u jeedo , eego ama dhageysto.
","Attentional shift ( or shift of attention ) occurs when directing attention to a point increases the efficiency of processing of that point and includes inhibition to decrease attentional resources to unwanted or irrelevant inputs.
"
3768,"Sanadka miilaadiga bishiisa sideedaad , waxayna u dhaxaysaa bilaha Luuliyo iyo Sebteembar.
","August is the eighth month of the year in the Julian and Gregorian calendars , and the fifth of seven months to have a length of 31 days.
"
3769,"Augustus Octavian
","Augustus ( Imperator Caesar Divi filius Augustus ; 23 September 63 BC - 19 August AD 14 ) was a Roman statesman and military leader who became the first emperor of the Roman Empire , reigning from 27 BC until his death in AD 14.
"
3770,"Habaryar
","An aunt is a person who is the sister of a parent.
"
3771,"Awstin , Tegsas , Austin ( or ) waa magaalo-madaxda iyo caasimada gobolka Texas , iyo fadhiga dowlada ee Degmada Travis.
","Austin is the capital city of the U.S.
"
3772,"w : oc : Austràlia
","Australia , officially the Commonwealth of Australia , is a sovereign country comprising the mainland of the Australian continent , the island of Tasmania , and numerous smaller islands.
"
3773,"Australia Dollarka
","The Australian dollar ( sign : $ ; code : AUD ) is the currency of Australia , including its external territories : Christmas Island , Cocos ( Keeling ) Islands , and Norfolk Island.
"
3774,"Awstriya Jamhuuriyadda Awstriya ama ( de : Republik Österreich ) waa wadan Dhul xiran oo ku yaalo dhaxbartanka Yurub macnaha Austaria waxa ay kadhigantahay marka somali loorogo Jammhuuriyada bariga.waa xubin kamida jamciyada quruumaha ka dhaxaysa ilaa 1955 laga bilaabo 1995 waxay kamid noqotay wadamada Midawga Yurub dhanka waqooyi waxa kaga aadan wadanka Jamhuuriyadda Fadaraaliga ah ee Jarmalka iyo Jamhuuriyadda Jek Dhanka barina wadamada Isloveeniya iyo Taliyaaniga Koonfurna waxa kaga toosan wadamada Iswisarland iyo Liechtenstein.
","Austria , officially the Republic of Austria , is a landlocked East Alpine country in the southern part of Central Europe.
"
3775,"Otismo Ingiriis waxaa lagu dhawaaqaa Autism.
","Autism is a developmental disorder characterized by difficulties with social interaction and communication , and by restricted and repetitive behavior.
"
3776,"Dayr waa mid ka mid ah afarta xili ee sanadka , waana xiliga uu wadanka ka da'o roobab badan oo qaarkoodna geystaan biyo fatahaad badan , waana bilaah ( Oktoobar , Nofeembar iyo Diseembar ).
","Autumn , also known as fall in North American English , is one of the four temperate seasons.
"
3777,"Cawaaqibta : Cilaaqaadka Infinity waa filimka filimka Mareykanka ee 2018 oo ku saleysan kooxda Marvel Comics superhero team Avengers , oo ay soo saartay Marvel Studios waxayna u qaybisay Walt Disney Studios Motion Pictures.
","Avengers : Infinity War is a 2018 American superhero film based on the Marvel Comics superhero team the Avengers , produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures.
"
3778,"Abu Cali Al-Xusayn Bin Cabdallah Bin Al-Xasan Bin Cali Bin Sinaa ( Ibn Siinaa ) Waxa uu ahaa caalim iyo Dhakhtar Muslim ah.
","Ibn Sina , also known as Abu Ali Sina , Pur Sina , and often known in the West as Avicenna ( - June 1037 ) , was a Persian polymath who is regarded as one of the most significant physicians , astronomers , thinkers and writers of the Islamic Golden Age , and the father of early modern medicine.
"
3779,"Afokadho magaca Saynis "" "" Persea americana "" "" waa geed asal ku ah wadanka Meksiko iyo Bartamaha Ameerika , kaasi oo ka tirsan dhirta ubaxleyda ah nooca loo yaqaano "" Laurakeae "".
","The avocado ( "" Persea americana "" ) , a tree likely originating from south-central Mexico , is classified as a member of the flowering plant family Lauraceae.
"
3780,"Amedeo Avogadro
","The Avogadro constant ( "" N "" or "" L "" ) is the proportionality factor that relates the number of constituent particles ( usually molecules , atoms or ions ) in a sample with the amount of substance in that sample.
"
3781,"Awdal waa gobol ku yaalo woqooyiga galbeed ee dalka Soomaaliya.
","Awdal is a region in Somaliland.
"
3782,"Awdheegle waa degmo ka tirsan degmooyinka Gobolka Shabeellaha Hoose waxey caan ku tahay dhul beeraadka.
","Awdheegle ( also Awdhegele ) is a town in the Lower Shabelle region in southern Somalia with about 19,000 inhabitants.
"
3783,"Caynaba waa magaalo qadiim ah waxaana degga Beesha Habarjeclo , gaar ahaan Muuse Abokor.
","Aynaba or Ainaba is a city and the capital of the Saraar region of Somaliland.
"
3784,"Cayr waa beel ka mid ah bahweynta Habargidir ee Hawiye.
","Ayr ( or ) , Muhammad Madarkicis Hiraab is a Somali clan , part of the larger Habargidir Hawiye clan.
"
3785,"Geed Hindi magaciisa caalamiga ah ( Azadirachta indica ) waa geed aad u weyn oo ka baxo dalal badan oo ka mid ah Caalamka , waxoona asal ahaan ka soo jeedaa dalka Hindiya.
","Azadirachta indica , commonly known as neem , nimtree or Indian lilac , is a tree in the mahogany family Meliaceae.
"
3786,"Azania waa Dhulka Soomaaliyeed ee dhinaca koonfurta laga soo bilaabo Baledwayne ilaa iyo Kenya iyo Ithobiya xuduudahooda laga gaaro.
","Azania is a name that has been applied to various parts of southeastern tropical Africa.
"
3787,"Aserbiijaan ( Af-Asarbayjan Azərbaycan ) waa dowlad kamida ah lixda dawladood oo asal ahaan kasoojeeda wadanka turkiga kuna yaala inta u dhaxaysa yurub iyo aasiya
","Azerbaijan , officially the Republic of Azerbaijan , is a country in the Caucasus region of Eurasia at the crossroads of Eastern Europe and Western Asia.
"
3788,"Azeri ( / ˌæzərbaɪdʒɑːni , ˌɑː- , -ʒɑːni / ) ama Azeri ( / æːɛəri , ɑː- , ə- / ) , oo loo yaqaan ' Azeri Turkic [ 4 ] ama Azeri Turki , [ 5 ] [ 6 ] waxaa ugu horreeya by Azerbaijan , kuwaas oo badanaa ku badan ee Transcaucasia iyo Iran Azerbaijan ( taariikhiga ah Azerbaijan ).
","Azerbaijani or Azeri , also referred to as Azeri Turkic or Azeri Turkish , is a Turkic language spoken primarily by the Azerbaijani people , who live mainly in the Republic of Azerbaijan ( former Soviet ) where the North Azerbaijani variety is spoken , and in the Azerbaijan region of Iran , where the South Azerbaijani variety is spoken.
"
3789,"BBC : "" British Broadcasting Corporation "".
","The British Broadcasting Corporation ( BBC ) is a British public service broadcaster.
"
3790,"BBC Soomaali waa raadiyo idaacadeed waxeena ka midtahay raadiyaasha ugu duqsan oo laga dhageesto dalka Soomaaliya iyo deegaanada soomaalida degto.
","The BBC Somali Service is a BBC World Service radio station transmitted in the Somali language and based in Broadcasting House in West London and in Nairobi , where most of the radio and digital operations are based.
"
3791,"C.H ( ingiriis : B.C ama Before Ciise ) loo soo gaabiyay "" Ciise Hortiis "" waa wakhtiga taariikhda ka horeeysa wakhtigii dhalashada Nabi Ciise ( c.s ).
","BC may refer to :
"
3792,"Deegaanka Baalade waa deegaan aad u balaaran oo qaybo deegaan oo kala duwan leh , meelaha ugu muhiimsan deegaanka baalade waxaa ka mida Toga weyn ee baalade oo lafdhabar u ah guud ahaan deegaanka , Ceelasha baalade oo aadu tiro badan , Aaga "" Gaaca "" oo ah aag dalxiiska ku wanaagsan oo leh ilo biyoodyo aan go'in , Warro biyo jiifeen ah , Biyo dheceeno , beero iyo kaymo waaweyn oo jiq ah oo dalxiiska iyo tamashlahaba ku wanaagsan , Deegaanka baalade wuxuu leeyahay ugu yaraan ilaa 700 ( "" toddobo boqol "" ) oo beerood oo isugu jira
","The Baalade , also called Togga Baalade is one of wettest canyons ( Tog or الوادي ) in Somalia , and also one of the longest valleys in the country.
"
3793,"Baabiyloon
","Babylon was the capital city of Babylonia , a kingdom in ancient Mesopotamia , between the 18th and 6th centuries BC.
"
3794,"Baabiylooniya
","Babylonia was an ancient Akkadian-speaking state and cultural area based in central-southern Mesopotamia ( present-day Iraq and Syria ).
"
3795,"Bacaadweyn waa degmo ku taal woqooyiga Gobolka Mudug , magaalda gaalkacyo iyo burtinle u dhexeysa , saaran laamiga.iis.
","Bacadweyn is a town in the north-central Mudug region of Somalia.
"
3796,"Gaariga Culus-Backhoe loader
","A backhoe loader , also called a loader backhoe , digger in layman's terms , or colloquially shortened to backhoe within the industry , is a heavy equipment vehicle that consists of a tractor-like unit fitted with a loader-style shovel / bucket on the front and a backhoe on the back.
"
3797,"Bakteriya ( loogu dhawaaqo : )
","Bacteria ( common noun bacteria , singular bacterium ) are a type of biological cell.
"
3798,"Bad Cat waa filim dhaqdhaqaaq ah oo majaajilo ah oo Turki ah oo 2016 ah , oo ay maamusho "" Mehmet Kurtuluş "" iyo "" Ayşe Ünal "" , oo ay soo qoreen "" Levent Kazak "" iyo "" Bülent Üstün "" , oo ay soo saareen "" Mehmet Kurtuluş "" iyo "" Vehbi Berksoy "" , iyaga oo hoos imaanaya "" Anima Istanbul "" , siday u kala horreeyaan.
","Bad Cat is a 2016 Turkish adult animated action comedy film directed by Mehmet Kurtuluş and Ayşe Ünal.
"
3799,"Dagmada badhaadhe waa dagamo balaaran oo hoos imaadaan dhowr deegaan badhaadhe waxay ku taalaa koonfurta fog ee somalia gobolka jubada hoose waana dhul hood ah oo dhir badan waa dhulka waagii hore uu kubadnaa xawayaanka maroodiga dhaqaala heeda waxuu ku xiran yahay beeraha , xoolaha nool iyo kallunka waxayna dhanka badda ee xaduuda la leedahay wadanka kenya reer badhaadhe waa dad nabadeed beesha ugu badan daagankaas waa beesha saransoor kaas ahaan gaaljecel iyo dagoodiye waxaa kaloo ladaga dadka la dhaho baajuun iyo xoogaa somalia kale ah
","Badhadhe District is a district in the southern Lower Jubba Region of Somalia.
"
3800,"Bac ( ingiriis : Bag ) waa shay khafiif ah oo fudud lagana sameeyo hadhaaga shidaalka taas oo loo isticmaalo in wax lagu rito ama lagu xafido.
","A bag ( also known regionally as a sack ) is a common tool in the form of a non-rigid container.
"
3801,"w : oc : Bagdad
","Baghdad is the capital of Iraq and the third-largest city in the Arab world after Riyadh and Cairo.
"
3802,"Baxrayn ama Boqortooyada Baxrayn ( af-Carabi مملكة البحرين Mamlakat al-Baxrayn.
","Bahrain , officially the Kingdom of Bahrain , is a sovereign state in the Persian Gulf.
"
3803,"Baha'i wa diin bilaabey qarnigii toban iyo sagaalaad.
","The Baháʼí Faith ( "" "" ) is a religion teaching the essential worth of all religions , and the unity of all people.
"
3804,"Bajeela
","Bajela is a town in the north-central Mudug region of Somalia.
"
3805,"Bajrangi Bhaijaan ( tarjumaad Ingiriisi ah : Brother Bajrangi ) waa filin riwaayadeed oo Hindi ah , oo lagu magacaabo Kabir Khan.
","Bajrangi Bhaijaan is a 2015 Indian Hindi-language comedy-drama film written and directed by Kabir Khan , co-written by K.
"
3806,"juwaiyo jawaay
","The Bajuni Islands ( , also known as the Bajun Islands or Baajun Islands ) are an archipelago that is part of Jubaland in the Somali sea.
"
3807,"Af-Bajuuni waa lahjad u dhow afka Sawaaxiliga.Waxaana ku hadlo dadka bajuuniga ah.
","Bajuni ( "" Kibajuni "" ) , also known as Tikulu ( "" Tikuu "" ) , is a variety of Swahili spoken by the Bajuni people who inhabit the tiny Bajuni Islands and coastal Kenya , in addition to parts of southern Somalia , where they constitute a minority ethnic group.
"
